date,sentiment_category,Closed PnL_sum,Closed PnL_mean,Closed PnL_median,Closed PnL_std,Closed PnL_count,Size USD_mean,Size USD_sum,is_profitable_mean,pnl_per_dollar_mean
2023-12-05,Extreme Fear,0.0,,,,0,,0.0,,
2023-12-05,Fear,0.0,,,,0,,0.0,,
2023-12-05,Greed,0.0,0.0,0.0,0.0,2,12499.31,24998.62,0.0,0.0
2023-12-05,Extreme Greed,0.0,,,,0,,0.0,,
2023-12-14,Extreme Fear,0.0,,,,0,,0.0,,
2023-12-14,Fear,0.0,,,,0,,0.0,,
2023-12-14,Greed,-527.2331300000001,-263.61656500000004,-263.61656500000004,354.10007605901257,2,12762.92,25525.84,0.0,-0.020643999232530363
2023-12-14,Extreme Greed,0.0,,,,0,,0.0,,
2023-12-22,Extreme Fear,0.0,,,,0,,0.0,,
2023-12-22,Fear,0.0,,,,0,,0.0,,
2023-12-22,Greed,141.832675,20.261810714285712,0.0,48.67037063197347,7,8459.449999999999,59216.149999999994,0.2857142857142857,0.0013708102441945902
2023-12-22,Extreme Greed,0.0,,,,0,,0.0,,
2023-12-24,Extreme Fear,0.0,,,,0,,0.0,,
2023-12-24,Fear,0.0,,,,0,,0.0,,
2023-12-24,Greed,-5.698476,-0.47487300000000005,0.0,2.960910627428694,12,16670.533333333336,200046.40000000002,0.3333333333333333,6.867753104035263e-06
2023-12-24,Extreme Greed,0.0,,,,0,,0.0,,
2023-12-29,Extreme Fear,0.0,,,,0,,0.0,,
2023-12-29,Fear,0.0,,,,0,,0.0,,
2023-12-29,Greed,24.302049999999998,6.075512499999999,0.03887,12.099212251275908,4,15777.7075,63110.83,0.75,0.0005836631721294768
2023-12-29,Extreme Greed,0.0,,,,0,,0.0,,
2023-12-30,Extreme Fear,0.0,,,,0,,0.0,,
2023-12-30,Fear,0.0,,,,0,,0.0,,
2023-12-30,Greed,35.896412000000026,2.393094133333335,0.27251,91.57041369780569,15,19966.016,299490.24,0.5333333333333333,0.0022050877515298116
2023-12-30,Extreme Greed,0.0,,,,0,,0.0,,
2024-01-01,Extreme Fear,0.0,,,,0,,0.0,,
2024-01-01,Fear,0.0,,,,0,,0.0,,
2024-01-01,Greed,281.677062,70.4192655,0.0,140.838531,4,25182.405,100729.62,0.25,0.0014021058387903933
2024-01-01,Extreme Greed,0.0,,,,0,,0.0,,
2024-01-02,Extreme Fear,0.0,,,,0,,0.0,,
2024-01-02,Fear,0.0,,,,0,,0.0,,
2024-01-02,Greed,-252.794221,-63.19855525,0.0,126.3971105,4,25551.802499999998,102207.20999999999,0.0,-0.0012336244372923822
2024-01-02,Extreme Greed,0.0,,,,0,,0.0,,
2024-01-05,Extreme Fear,0.0,,,,0,,0.0,,
2024-01-05,Fear,0.0,,,,0,,0.0,,
2024-01-05,Greed,226.57376300000004,5.034972511111112,0.0,70.2909281312414,45,26734.814666666665,1203066.66,0.2,0.0001790826489653345
2024-01-05,Extreme Greed,0.0,,,,0,,0.0,,
2024-01-06,Extreme Fear,0.0,,,,0,,0.0,,
2024-01-06,Fear,0.0,,,,0,,0.0,,
2024-01-06,Greed,-129.30096,-43.10032,-8.4,67.5081083152772,3,33387.753333333334,100163.26000000001,0.0,-0.0017123872519299729
2024-01-06,Extreme Greed,0.0,,,,0,,0.0,,
2024-01-07,Extreme Fear,0.0,,,,0,,0.0,,
2024-01-07,Fear,0.0,,,,0,,0.0,,
2024-01-07,Greed,-129.943901,-8.662926733333334,0.0,41.161799245613835,15,22985.746666666666,344786.2,0.26666666666666666,-0.0005663148454634482
2024-01-07,Extreme Greed,0.0,,,,0,,0.0,,
2024-01-08,Extreme Fear,0.0,,,,0,,0.0,,
2024-01-08,Fear,0.0,,,,0,,0.0,,
2024-01-08,Greed,574.1827549999999,14.004457439024389,0.0,141.5288558927825,41,18190.803658536584,745822.95,0.3902439024390244,0.000597972766006439
2024-01-08,Extreme Greed,0.0,,,,0,,0.0,,
2024-01-09,Extreme Fear,0.0,,,,0,,0.0,,
2024-01-09,Fear,0.0,,,,0,,0.0,,
2024-01-09,Greed,0.0,,,,0,,0.0,,
